STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,FREQ,Fréquence d'observation,MEASURE,Mesure,CLIM_ACT_POL,Actions et politiques en matière de climat,UNIT_MEASURE,Unité de mesure,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur de l'observation,OBS_STATUS,État de l'observation,UNIT_MULT,Multiplicateur d'unités,DECIMALS,Décimales
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Cadre de mesure des actions et politiques climatiques,I,GRC,Grèce,A,Annuelle,POL_STRINGENCY,Rigueur de la politique,LEV3_EXCISETAX_I,Accises sur les combustibles fossiles - Industrie,0_TO_10,Échelle 0-10,1990,,,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Cadre de mesure des actions et politiques climatiques,I,GRC,Grèce,A,Annuelle,POL_STRINGENCY,Rigueur de la politique,LEV3_EXCISETAX_I,Accises sur les combustibles fossiles - Industrie,0_TO_10,Échelle 0-10,1991,,,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Cadre de mesure des actions et politiques climatiques,I,GRC,Grèce,A,Annuelle,POL_STRINGENCY,Rigueur de la politique,LEV3_EXCISETAX_I,Accises sur les combustibles fossiles - Industrie,0_TO_10,Échelle 0-10,1992,,,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Cadre de mesure des actions et politiques climatiques,I,GRC,Grèce,A,Annuelle,POL_STRINGENCY,Rigueur de la politique,LEV3_EXCISETAX_I,Accises sur les combustibles fossiles - Industrie,0_TO_10,Échelle 0-10,1993,,,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Cadre de mesure des actions et politiques climatiques,I,GRC,Grèce,A,Annuelle,POL_STRINGENCY,Rigueur de la politique,LEV3_EXCISETAX_I,Accises sur les combustibles fossiles - Industrie,0_TO_10,Échelle 0-10,1994,,,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Cadre de mesure des actions et politiques climatiques,I,GRC,Grèce,A,Annuelle,POL_STRINGENCY,Rigueur de la politique,LEV3_EXCISETAX_I,Accises sur les combustibles fossiles - Industrie,0_TO_10,Échelle 0-10,1995,,,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Cadre de mesure des actions et politiques climatiques,I,GRC,Grèce,A,Annuelle,POL_STRINGENCY,Rigueur de la politique,LEV3_EXCISETAX_I,Accises sur les combustibles fossiles - Industrie,0_TO_10,Échelle 0-10,1996,,,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Cadre de mesure des actions et politiques climatiques,I,GRC,Grèce,A,Annuelle,POL_STRINGENCY,Rigueur de la politique,LEV3_EXCISETAX_I,Accises sur les combustibles fossiles - Industrie,0_TO_10,Échelle 0-10,1997,,,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Cadre de mesure des actions et politiques climatiques,I,GRC,Grèce,A,Annuelle,POL_STRINGENCY,Rigueur de la politique,LEV3_EXCISETAX_I,Accises sur les combustibles fossiles - Industrie,0_TO_10,Échelle 0-10,1998,,,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Cadre de mesure des actions et politiques climatiques,I,GRC,Grèce,A,Annuelle,POL_STRINGENCY,Rigueur de la politique,LEV3_EXCISETAX_I,Accises sur les combustibles fossiles - Industrie,0_TO_10,Échelle 0-10,1999,,,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Cadre de mesure des actions et politiques climatiques,I,GRC,Grèce,A,Annuelle,POL_STRINGENCY,Rigueur de la politique,LEV3_EXCISETAX_I,Accises sur les combustibles fossiles - Industrie,0_TO_10,Échelle 0-10,2000,,,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_CAPMF@DF_CAPMF(1.0),Cadre de mesure des actions et politiques climatiques,I,GRC,Grèce,A,Annuelle,POL_STRINGENCY,Rigueur de la politique,LEV3_EXCISETAX_I,Accises sur les combustibles fossiles - Industrie,0_TO_10,Échelle 0-10,2001,,,,A,Normal value,0,Units,2,Two
