"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","1990","1990","USD","US Dollar","6","Millions","2015","2015",562521.185,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","1991","1991","USD","US Dollar","6","Millions","2015","2015",564926.967,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","1992","1992","USD","US Dollar","6","Millions","2015","2015",587779.15,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","1993","1993","USD","US Dollar","6","Millions","2015","2015",611171.033,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","1994","1994","USD","US Dollar","6","Millions","2015","2015",634903.811,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","1995","1995","USD","US Dollar","6","Millions","2015","2015",659436.078,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","1996","1996","USD","US Dollar","6","Millions","2015","2015",685241.061,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","1997","1997","USD","US Dollar","6","Millions","2015","2015",717195.576,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","1998","1998","USD","US Dollar","6","Millions","2015","2015",753253.641,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","1999","1999","USD","US Dollar","6","Millions","2015","2015",782792.617,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2000","2000","USD","US Dollar","6","Millions","2015","2015",798645.164,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2001","2001","USD","US Dollar","6","Millions","2015","2015",830428.316,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2002","2002","USD","US Dollar","6","Millions","2015","2015",856094.258,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2003","2003","USD","US Dollar","6","Millions","2015","2015",892258.434,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2004","2004","USD","US Dollar","6","Millions","2015","2015",920401.507,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2005","2005","USD","US Dollar","6","Millions","2015","2015",945761.314,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2006","2006","USD","US Dollar","6","Millions","2015","2015",981448.602,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2007","2007","USD","US Dollar","6","Millions","2015","2015",1016645.586,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2008","2008","USD","US Dollar","6","Millions","2015","2015",1035886.352,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2009","2009","USD","US Dollar","6","Millions","2015","2015",1058950.756,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2010","2010","USD","US Dollar","6","Millions","2015","2015",1084460.581,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2011","2011","USD","US Dollar","6","Millions","2015","2015",1126954.189,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2012","2012","USD","US Dollar","6","Millions","2015","2015",1156324.852,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2013","2013","USD","US Dollar","6","Millions","2015","2015",1186474.878,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2014","2014","USD","US Dollar","6","Millions","2015","2015",1212598.802,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2015","2015","USD","US Dollar","6","Millions","2015","2015",1246298.652,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2016","2016","USD","US Dollar","6","Millions","2015","2015",1275196.696,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2017","2017","USD","US Dollar","6","Millions","2015","2015",1312258.542,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2018","2018","USD","US Dollar","6","Millions","2015","2015",1340880.333,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",1336392.589,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","VXVOB","Constant prices, constant exchange rates, OECD base year","2020","2020","USD","US Dollar","6","Millions","2015","2015",1364614.941,,
"AUS","Australia","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VXVOB","Constant prices, constant exchange rates, OECD base year","1990","1990","USD","US Dollar","6","Millions","2015","2015",18250.993,,
"AUS","Australia","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VXVOB","Constant prices, constant exchange rates, OECD base year","1991","1991","USD","US Dollar","6","Millions","2015","2015",17282.23,,
"AUS","Australia","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VXVOB","Constant prices, constant exchange rates, OECD base year","1992","1992","USD","US Dollar","6","Millions","2015","2015",18191.142,,
"AUS","Australia","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VXVOB","Constant prices, constant exchange rates, OECD base year","1993","1993","USD","US Dollar","6","Millions","2015","2015",18944.559,,
"AUS","Australia","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VXVOB","Constant prices, constant exchange rates, OECD base year","1994","1994","USD","US Dollar","6","Millions","2015","2015",16168.535,,
"AUS","Australia","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VXVOB","Constant prices, constant exchange rates, OECD base year","1995","1995","USD","US Dollar","6","Millions","2015","2015",19575.34,,
"AUS","Australia","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VXVOB","Constant prices, constant exchange rates, OECD base year","1996","1996","USD","US Dollar","6","Millions","2015","2015",21147.892,,
"AUS","Australia","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VXVOB","Constant prices, constant exchange rates, OECD base year","1997","1997","USD","US Dollar","6","Millions","2015","2015",21300.453,,
"AUS","Australia","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VXVOB","Constant prices, constant exchange rates, OECD base year","1998","1998","USD","US Dollar","6","Millions","2015","2015",23442.175,,
"AUS","Australia","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VXVOB","Constant prices, constant exchange rates, OECD base year","1999","1999","USD","US Dollar","6","Millions","2015","2015",25049.347,,
"AUS","Australia","B1GVA","Agriculture, forestry and fishing (ISIC rev4)","VXVOB","Constant prices, constant exchange rates, OECD base year","2000","2000","USD","US Dollar","6","Millions","2015","2015",26043.34,,
