STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Zone de référence,SECTOR,Secteur institutionnel,COUNTERPART_SECTOR,Secteur institutionnel de contrepartie,TRANSACTION,Transaction,INSTR_ASSET,Instruments financiers et actifs non financiers,ACTIVITY,Activité économique,EXPENDITURE,Dépense,UNIT_MEASURE,Unité de mesure,PRICE_BASE,Type de prix,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Identifiant de tableau,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,REF_YEAR_PRICE,Prix ​​année de référence,CONF_STATUS,Statut de confidentialité,DECIMALS,Décimales,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,1996,,215.761,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,1997,,146.056,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,1998,,206.518,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,1999,,233.282,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2000,,249.473,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2001,,263.836,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2002,,274.861,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2003,,327.909,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2004,,347.646,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(1.0),PIB annuel et ses composantes selon l'approche par la production,I,A,Annuelle,ALB,Albanie,S1,Economie totale,S1,Economie totale,B1G,"Valeur ajoutée, brute",_Z,Non applicable,C,Activités de fabrication,_Z,Non-applicable,USD_EXC,"Dollars des É-U, taux de change converti",LR,Volumes chaînés (rebasés),N,Données non transformées,T0101,Tableau 0101  - Valeur ajoutée brute aux prix de base et produit intérieur brut aux prix du marché,2005,,395.913,,2015,,F,Libre (libre pour publication),1,One,A,Normal value,6,Millions,_Z,N'est pas applicable
