"LOCATION","Pays","SEX","Sexe","AGE","Âge","TIME","Temps","Value","Flag Codes","Flags"
"AUS","Australie","T","Total","TOTAL","Total","1990","1990",17065128,,
"AUS","Australie","T","Total","TOTAL","Total","1991","1991",17284036,,
"AUS","Australie","T","Total","TOTAL","Total","1992","1992",17478635,,
"AUS","Australie","T","Total","TOTAL","Total","1993","1993",17634808,,
"AUS","Australie","T","Total","TOTAL","Total","1994","1994",17805468,,
"AUS","Australie","T","Total","TOTAL","Total","1995","1995",18004882,,
"AUS","Australie","T","Total","TOTAL","Total","1996","1996",18224767,,
"AUS","Australie","T","Total","TOTAL","Total","1997","1997",18423037,,
"AUS","Australie","T","Total","TOTAL","Total","1998","1998",18607584,,
"AUS","Australie","T","Total","TOTAL","Total","1999","1999",18812264,,
"AUS","Australie","T","Total","TOTAL","Total","2000","2000",19028802,,
"AUS","Australie","T","Total","TOTAL","Total","2001","2001",19274701,,
"AUS","Australie","T","Total","TOTAL","Total","2002","2002",19495210,,
"AUS","Australie","T","Total","TOTAL","Total","2003","2003",19720737,,
"AUS","Australie","T","Total","TOTAL","Total","2004","2004",19932722,,
"AUS","Australie","T","Total","TOTAL","Total","2005","2005",20176844,,
"AUS","Australie","T","Total","TOTAL","Total","2006","2006",20450966,,
"AUS","Australie","T","Total","TOTAL","Total","2007","2007",20827622,,
"AUS","Australie","T","Total","TOTAL","Total","2008","2008",21249199,,
"AUS","Australie","T","Total","TOTAL","Total","2009","2009",21691653,,
"AUS","Australie","T","Total","TOTAL","Total","2010","2010",22031750,,
"AUS","Australie","T","Total","TOTAL","Total","2011","2011",22340024,,
"AUS","Australie","T","Total","TOTAL","Total","2012","2012",22733465,,
"AUS","Australie","T","Total","TOTAL","Total","2013","2013",23128129,,
"AUS","Australie","T","Total","TOTAL","Total","2014","2014",23475686,,
"AUS","Australie","T","Total","TOTAL","Total","2015","2015",23815995,,
"AUS","Australie","T","Total","TOTAL","Total","2016","2016",24190907,,
"AUS","Australie","T","Total","TOTAL","Total","2017","2017",24594202,,
"AUS","Australie","T","Total","TOTAL","Total","2018","2018",24966643,,
"AUS","Australie","T","Total","TOTAL","Total","2019","2019",25340217,,
"AUS","Australie","T","Total","TOTAL","Total","2020","2020",25655289,,
"AUT","Autriche","T","Total","TOTAL","Total","1990","1990",7677850,,
"AUT","Autriche","T","Total","TOTAL","Total","1991","1991",7754891,,
"AUT","Autriche","T","Total","TOTAL","Total","1992","1992",7840709,,
"AUT","Autriche","T","Total","TOTAL","Total","1993","1993",7905632,,
"AUT","Autriche","T","Total","TOTAL","Total","1994","1994",7936118,,
"AUT","Autriche","T","Total","TOTAL","Total","1995","1995",7948278,,
"AUT","Autriche","T","Total","TOTAL","Total","1996","1996",7959016,,
"AUT","Autriche","T","Total","TOTAL","Total","1997","1997",7968041,,
"AUT","Autriche","T","Total","TOTAL","Total","1998","1998",7976789,,
"AUT","Autriche","T","Total","TOTAL","Total","1999","1999",7992323,,
"AUT","Autriche","T","Total","TOTAL","Total","2000","2000",8011566,,
"AUT","Autriche","T","Total","TOTAL","Total","2001","2001",8042293,,
"AUT","Autriche","T","Total","TOTAL","Total","2002","2002",8082121,,
